LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1709495464.380907,55045.000,6384,1,PG,1,100,9743
1709495464.420907,55085.000,6388,3,PG,1,100,9743
1709495464.460908,55125.000,6388,3,PG,1,100,9638
1709495464.500908,55165.000,6388,3,PG,1,100,9434
1709495464.540909,55205.000,6405,2,PG,1,100,9238
1709495464.580909,55245.000,6405,2,PG,1,100,9127
1709495464.620910,55285.000,6419,3,PG,1,100,9062
1709495464.660910,55325.000,6419,3,PG,1,100,9035
1709495464.700911,55365.000,6419,3,PG,1,100,9027
1709495464.740911,55405.000,6437,2,PG,1,100,9031
1709495464.780912,55445.000,6437,2,PG,1,100,9011
1709495464.820912,55485.000,6455,3,PG,1,100,8989
1709495464.860912,55525.000,6455,3,PG,1,100,8964
1709495464.900913,55565.000,6455,3,PG,1,100,8964
1709495464.940913,55605.000,6472,2,PG,1,100,8981
1709495464.980914,55645.000,6472,2,PG,1,100,9007
1709495465.020914,55685.000,6489,3,PG,1,100,9033
1709495465.060915,55725.000,6489,3,PG,1,100,9056
1709495465.100915,55765.000,6489,3,PG,1,100,9079
1709495465.140916,55805.000,6506,2,PG,1,100,9122
1709495465.180916,55845.000,6506,2,PG,1,100,9145
1709495465.220917,55885.000,6522,3,PG,1,100,9171
1709495465.260917,55925.000,6522,3,PG,1,100,9194
1709495465.300917,55965.000,6522,3,PG,1,100,9226
1709495465.340918,56005.000,6539,2,PG,1,100,9240
1709495465.380918,56045.000,6539,2,PG,1,100,9296
1709495465.425252,56089.333,6555,3,PG,1,100,9313
1709495465.469586,56133.667,6555,3,PG,1,100,9363
1709495465.513920,56178.000,6555,3,PG,1,100,9362
1709495465.553920,56218.000,6571,2,PG,1,100,9283
1709495465.593921,56258.000,6571,2,PG,1,100,9064
1709495465.633921,56298.000,6587,3,PG,1,100,8869
1709495465.673922,56338.000,6587,3,PG,1,100,8782
1709495465.713922,56378.000,6587,3,PG,1,100,8740
1709495465.753923,56418.000,6605,2,PG,1,100,8736
1709495465.793923,56458.000,6605,2,PG,1,100,8749
1709495465.833924,56498.000,6621,3,PG,1,100,8780
1709495465.873924,56538.000,6621,3,PG,1,100,8809
1709495465.913924,56578.000,6621,3,PG,1,100,8804
1709495465.953925,56618.000,6636,2,PG,1,100,8816
1709495465.993925,56658.000,6636,2,PG,1,100,8843
1709495466.033926,56698.000,6655,3,PG,1,100,8856
1709495466.073926,56738.000,6655,3,PG,1,100,8892
1709495466.113927,56778.000,6655,3,PG,1,100,8915
1709495466.153927,56818.000,6672,2,PG,1,100,8954
1709495466.193928,56858.000,6672,2,PG,1,100,8978
1709495466.233928,56898.000,6688,3,PG,1,100,9004
1709495466.273929,56938.000,6688,3,PG,1,100,9027
1709495466.313929,56978.000,6688,3,PG,1,100,9058
1709495466.353929,57018.000,6704,2,PG,1,100,9101
1709495466.393930,57058.000,6704,2,PG,1,100,9122
1709495466.433930,57098.000,6720,3,PG,1,100,9151
1709495466.473931,57138.000,6720,3,PG,1,100,9198
1709495466.513931,57178.000,6720,3,PG,1,100,9216
1709495466.553932,57218.000,6740,4,PG,1,100,9254
1709495466.593932,57258.000,6740,4,PG,1,100,9275
1709495466.633933,57298.000,6740,4,PG,1,100,9308
1709495466.673933,57338.000,6740,4,PG,1,100,9348
1709495466.713934,57378.000,6757,2,PG,1,100,9381
1709495466.753934,57418.000,6757,2,PG,1,100,9342
1709495466.793934,57458.000,6774,3,PG,1,100,9180
1709495466.833935,57498.000,6774,3,PG,1,100,8989
1709495466.873935,57538.000,6774,3,PG,1,100,8869
1709495466.913936,57578.000,6789,2,PG,1,100,8802
1709495466.953936,57618.000,6789,2,PG,1,100,8809
1709495466.993937,57658.000,6805,3,PG,1,100,8811
1709495467.033937,57698.000,6805,3,PG,1,100,8827
1709495467.073938,57738.000,6805,3,PG,1,100,8829
1709495467.113938,57778.000,6822,2,PG,1,100,8817
1709495467.153939,57818.000,6822,2,PG,1,100,8805
1709495467.193939,57858.000,6839,3,PG,1,100,8819
1709495467.233939,57898.000,6839,3,PG,1,100,8830
1709495467.273940,57938.000,6839,3,PG,1,100,8864
1709495467.313940,57978.000,6856,2,PG,1,100,8917
1709495467.353941,58018.000,6856,2,PG,1,100,8941
1709495467.393941,58058.000,6873,3,PG,1,100,8981
1709495467.433942,58098.000,6873,3,PG,1,100,9024
1709495467.473942,58138.000,6873,3,PG,1,100,9059
1709495467.513943,58178.000,6889,2,PG,1,100,9098
1709495467.553943,58218.000,6889,2,PG,1,100,9132
1709495467.593944,58258.000,6906,3,PG,1,100,9157
1709495467.633944,58298.000,6906,3,PG,1,100,9197
1709495467.673944,58338.000,6906,3,PG,1,100,9233
1709495467.713945,58378.000,6923,2,PG,1,100,9255
1709495467.753945,58418.000,6923,2,PG,1,100,9295
1709495467.793946,58458.000,6938,3,PG,1,100,9306
1709495467.833946,58498.000,6938,3,PG,1,100,9369
1709495467.873947,58538.000,6938,3,PG,1,100,9400
1709495467.913947,58578.000,6954,3,PG,1,100,9410
1709495467.953948,58618.000,6954,3,PG,1,100,9362
1709495467.993948,58658.000,6954,3,PG,1,100,9207
1709495468.040449,58704.500,6972,2,PG,1,100,9064
1709495468.086949,58751.000,6972,2,PG,1,100,8989
1709495468.126950,58791.000,6988,2,PG,1,100,8978
1709495468.166950,58831.000,6988,2,PG,1,100,8980
1709495468.206950,58871.000,7003,3,PG,1,100,9016
1709495468.246951,58911.000,7003,3,PG,1,100,9027
1709495468.286951,58951.000,7003,3,PG,1,100,9008
1709495468.326952,58991.000,7019,2,PG,1,100,8978
1709495468.366952,59031.000,7019,2,PG,1,100,8969
1709495468.406953,59071.000,7037,3,PG,1,100,8986
1709495468.446953,59111.000,7037,3,PG,1,100,9003
1709495468.486954,59151.000,7037,3,PG,1,100,9045
1709495468.526954,59191.000,7055,2,PG,1,100,9071
1709495468.566955,59231.000,7055,2,PG,1,100,9084
1709495468.606955,59271.000,7070,3,PG,1,100,9130
1709495468.646955,59311.000,7070,3,PG,1,100,9142
1709495468.686956,59351.000,7070,3,PG,1,100,9179
1709495468.726956,59391.000,7087,2,PG,1,100,9193
1709495468.766957,59431.000,7087,2,PG,1,100,9216
1709495468.806957,59471.000,7104,3,PG,1,100,9235
1709495468.846958,59511.000,7104,3,PG,1,100,9269
1709495468.886958,59551.000,7104,3,PG,1,100,9295
1709495468.926959,59591.000,7120,3,PG,1,100,9328
1709495468.966959,59631.000,7120,3,PG,1,100,9359
1709495469.006960,59671.000,7120,3,PG,1,100,9374
1709495469.046960,59711.000,7136,2,PG,1,100,9269
1709495469.086960,59751.000,7136,2,PG,1,100,9108
1709495469.126961,59791.000,7152,3,PG,1,100,8957
1709495469.166961,59831.000,7152,3,PG,1,100,8904
1709495469.206962,59871.000,7152,3,PG,1,100,8869
1709495469.246962,59911.000,7169,2,PG,1,100,8863
1709495469.286963,59951.000,7169,2,PG,1,100,8889
1709495469.326963,59991.000,7185,3,PG,1,100,8890
1709495469.366964,60031.000,7185,3,PG,1,100,8880
1709495469.406964,60071.000,7185,3,PG,1,100,8846
1709495469.446965,60111.000,7202,2,PG,1,100,8827
1709495469.486965,60151.000,7202,2,PG,1,100,8872
1709495469.526965,60191.000,7219,3,PG,1,100,8886
1709495469.566966,60231.000,7219,3,PG,1,100,8904
1709495469.606966,60271.000,7219,3,PG,1,100,8934
1709495469.646967,60311.000,7236,2,PG,1,100,8973
1709495469.686967,60351.000,7236,2,PG,1,100,9004
1709495469.726968,60391.000,7255,3,PG,1,100,9035
1709495469.766968,60431.000,7255,3,PG,1,100,9055
1709495469.806969,60471.000,7255,3,PG,1,100,9089
1709495469.846969,60511.000,7272,2,PG,1,100,9127
1709495469.886970,60551.000,7272,2,PG,1,100,9148
1709495469.926970,60591.000,7286,3,PG,1,100,9184
1709495469.966970,60631.000,7286,3,PG,1,100,9204
1709495470.006971,60671.000,7286,3,PG,1,100,9267
1709495470.046971,60711.000,7304,2,PG,1,100,9273
1709495470.086972,60751.000,7304,2,PG,1,100,9315
1709495470.126972,60791.000,7320,3,PG,1,100,9303
1709495470.166973,60831.000,7320,3,PG,1,100,9215
1709495470.206973,60871.000,7320,3,PG,1,100,9014
1709495470.246974,60911.000,7337,3,PG,1,100,8855
1709495470.286974,60951.000,7337,3,PG,1,100,8786
1709495470.326975,60991.000,7337,3,PG,1,100,8741
1709495470.366975,61031.000,7352,2,PG,1,100,8734
1709495470.406975,61071.000,7352,2,PG,1,100,8744
1709495470.446976,61111.000,7369,3,PG,1,100,8753
