LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1709495464.380907,55045.000,6382,1,PI,1,100,160363
1709495464.420907,55085.000,6386,3,PI,1,100,160150
1709495464.460908,55125.000,6386,3,PI,1,100,159320
1709495464.500908,55165.000,6386,3,PI,1,100,158531
1709495464.540909,55205.000,6403,2,PI,1,100,158171
1709495464.580909,55245.000,6403,2,PI,1,100,158146
1709495464.620910,55285.000,6417,3,PI,1,100,158153
1709495464.660910,55325.000,6417,3,PI,1,100,158170
1709495464.700911,55365.000,6417,3,PI,1,100,158272
1709495464.740911,55405.000,6435,2,PI,1,100,158283
1709495464.780912,55445.000,6435,2,PI,1,100,158139
1709495464.820912,55485.000,6453,3,PI,1,100,158047
1709495464.860912,55525.000,6453,3,PI,1,100,158051
1709495464.900913,55565.000,6453,3,PI,1,100,158112
1709495464.940913,55605.000,6470,2,PI,1,100,158231
1709495464.980914,55645.000,6470,2,PI,1,100,158322
1709495465.020914,55685.000,6487,3,PI,1,100,158432
1709495465.060915,55725.000,6487,3,PI,1,100,158516
1709495465.100915,55765.000,6487,3,PI,1,100,158597
1709495465.140916,55805.000,6504,2,PI,1,100,158718
1709495465.180916,55845.000,6504,2,PI,1,100,158779
1709495465.220917,55885.000,6520,3,PI,1,100,158867
1709495465.260917,55925.000,6520,3,PI,1,100,158928
1709495465.300917,55965.000,6520,3,PI,1,100,159015
1709495465.340918,56005.000,6537,2,PI,1,100,159119
1709495465.380918,56045.000,6537,2,PI,1,100,159243
1709495465.425252,56089.333,6553,3,PI,1,100,159407
1709495465.469586,56133.667,6553,3,PI,1,100,159536
1709495465.513920,56178.000,6553,3,PI,1,100,159347
1709495465.553920,56218.000,6569,2,PI,1,100,158502
1709495465.593921,56258.000,6569,2,PI,1,100,157709
1709495465.633921,56298.000,6585,3,PI,1,100,157392
1709495465.673922,56338.000,6585,3,PI,1,100,157376
1709495465.713922,56378.000,6585,3,PI,1,100,157402
1709495465.753923,56418.000,6603,2,PI,1,100,157491
1709495465.793923,56458.000,6603,2,PI,1,100,157688
1709495465.833924,56498.000,6619,3,PI,1,100,157768
1709495465.873924,56538.000,6619,3,PI,1,100,157721
1709495465.913924,56578.000,6619,3,PI,1,100,157661
1709495465.953925,56618.000,6634,2,PI,1,100,157705
1709495465.993925,56658.000,6634,2,PI,1,100,157803
1709495466.033926,56698.000,6653,3,PI,1,100,157927
1709495466.073926,56738.000,6653,3,PI,1,100,157993
1709495466.113927,56778.000,6653,3,PI,1,100,158070
1709495466.153927,56818.000,6670,2,PI,1,100,158141
1709495466.193928,56858.000,6670,2,PI,1,100,158238
1709495466.233928,56898.000,6686,3,PI,1,100,158336
1709495466.273929,56938.000,6686,3,PI,1,100,158414
1709495466.313929,56978.000,6686,3,PI,1,100,158521
1709495466.353929,57018.000,6702,2,PI,1,100,158631
1709495466.393930,57058.000,6702,2,PI,1,100,158722
1709495466.433930,57098.000,6718,3,PI,1,100,158849
1709495466.473931,57138.000,6718,3,PI,1,100,158938
1709495466.513931,57178.000,6718,3,PI,1,100,159050
1709495466.553932,57218.000,6738,4,PI,1,100,159088
1709495466.593932,57258.000,6738,4,PI,1,100,159197
1709495466.633933,57298.000,6738,4,PI,1,100,159334
1709495466.673933,57338.000,6738,4,PI,1,100,159489
1709495466.713934,57378.000,6755,2,PI,1,100,159494
1709495466.753934,57418.000,6755,2,PI,1,100,158887
1709495466.793934,57458.000,6772,3,PI,1,100,157958
1709495466.833935,57498.000,6772,3,PI,1,100,157477
1709495466.873935,57538.000,6772,3,PI,1,100,157400
1709495466.913936,57578.000,6787,2,PI,1,100,157451
1709495466.953936,57618.000,6787,2,PI,1,100,157539
1709495466.993937,57658.000,6803,3,PI,1,100,157640
1709495467.033937,57698.000,6803,3,PI,1,100,157737
1709495467.073938,57738.000,6803,3,PI,1,100,157649
1709495467.113938,57778.000,6820,2,PI,1,100,157568
1709495467.153939,57818.000,6820,2,PI,1,100,157520
1709495467.193939,57858.000,6837,3,PI,1,100,157628
1709495467.233939,57898.000,6837,3,PI,1,100,157750
1709495467.273940,57938.000,6837,3,PI,1,100,157907
1709495467.313940,57978.000,6854,2,PI,1,100,158042
1709495467.353941,58018.000,6854,2,PI,1,100,158176
1709495467.393941,58058.000,6871,3,PI,1,100,158311
1709495467.433942,58098.000,6871,3,PI,1,100,158431
1709495467.473942,58138.000,6871,3,PI,1,100,158493
1709495467.513943,58178.000,6887,2,PI,1,100,158612
1709495467.553943,58218.000,6887,2,PI,1,100,158685
1709495467.593944,58258.000,6904,3,PI,1,100,158797
1709495467.633944,58298.000,6904,3,PI,1,100,158897
1709495467.673944,58338.000,6904,3,PI,1,100,159012
1709495467.713945,58378.000,6921,2,PI,1,100,159103
1709495467.753945,58418.000,6921,2,PI,1,100,159193
1709495467.793946,58458.000,6936,3,PI,1,100,159343
1709495467.833946,58498.000,6936,3,PI,1,100,159472
1709495467.873947,58538.000,6936,3,PI,1,100,159597
1709495467.913947,58578.000,6952,3,PI,1,100,159470
1709495467.953948,58618.000,6952,3,PI,1,100,158758
1709495467.993948,58658.000,6952,3,PI,1,100,158051
1709495468.040449,58704.500,6970,2,PI,1,100,157794
1709495468.086949,58751.000,6970,2,PI,1,100,157851
1709495468.126950,58791.000,6986,2,PI,1,100,157985
1709495468.166950,58831.000,6986,2,PI,1,100,158192
1709495468.206950,58871.000,7001,3,PI,1,100,158329
1709495468.246951,58911.000,7001,3,PI,1,100,158275
1709495468.286951,58951.000,7001,3,PI,1,100,158077
1709495468.326952,58991.000,7017,2,PI,1,100,158018
1709495468.366952,59031.000,7017,2,PI,1,100,158056
1709495468.406953,59071.000,7035,3,PI,1,100,158164
1709495468.446953,59111.000,7035,3,PI,1,100,158293
1709495468.486954,59151.000,7035,3,PI,1,100,158388
1709495468.526954,59191.000,7053,2,PI,1,100,158512
1709495468.566955,59231.000,7053,2,PI,1,100,158588
1709495468.606955,59271.000,7068,3,PI,1,100,158670
1709495468.646955,59311.000,7068,3,PI,1,100,158738
1709495468.686956,59351.000,7068,3,PI,1,100,158774
1709495468.726956,59391.000,7085,2,PI,1,100,158827
1709495468.766957,59431.000,7085,2,PI,1,100,158885
1709495468.806957,59471.000,7102,3,PI,1,100,158946
1709495468.846958,59511.000,7102,3,PI,1,100,159023
1709495468.886958,59551.000,7102,3,PI,1,100,159146
1709495468.926959,59591.000,7118,3,PI,1,100,159278
1709495468.966959,59631.000,7118,3,PI,1,100,159364
1709495469.006960,59671.000,7118,3,PI,1,100,159123
1709495469.046960,59711.000,7134,2,PI,1,100,158333
1709495469.086960,59751.000,7134,2,PI,1,100,157744
1709495469.126961,59791.000,7150,3,PI,1,100,157561
1709495469.166961,59831.000,7150,3,PI,1,100,157602
1709495469.206962,59871.000,7150,3,PI,1,100,157626
1709495469.246962,59911.000,7167,2,PI,1,100,157782
1709495469.286963,59951.000,7167,2,PI,1,100,157893
