LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1709495464.380907,55045.000,6383,1,PR,1,100,152966
1709495464.420907,55085.000,6387,3,PR,1,100,152851
1709495464.460908,55125.000,6387,3,PR,1,100,152482
1709495464.500908,55165.000,6387,3,PR,1,100,152110
1709495464.540909,55205.000,6404,2,PR,1,100,151934
1709495464.580909,55245.000,6404,2,PR,1,100,151932
1709495464.620910,55285.000,6418,3,PR,1,100,151930
1709495464.660910,55325.000,6418,3,PR,1,100,151953
1709495464.700911,55365.000,6418,3,PR,1,100,152006
1709495464.740911,55405.000,6436,2,PR,1,100,151995
1709495464.780912,55445.000,6436,2,PR,1,100,151953
1709495464.820912,55485.000,6454,3,PR,1,100,151860
1709495464.860912,55525.000,6454,3,PR,1,100,151900
1709495464.900913,55565.000,6454,3,PR,1,100,151941
1709495464.940913,55605.000,6471,2,PR,1,100,151992
1709495464.980914,55645.000,6471,2,PR,1,100,152057
1709495465.020914,55685.000,6488,3,PR,1,100,152109
1709495465.060915,55725.000,6488,3,PR,1,100,152143
1709495465.100915,55765.000,6488,3,PR,1,100,152190
1709495465.140916,55805.000,6505,2,PR,1,100,152233
1709495465.180916,55845.000,6505,2,PR,1,100,152275
1709495465.220917,55885.000,6521,3,PR,1,100,152305
1709495465.260917,55925.000,6521,3,PR,1,100,152343
1709495465.300917,55965.000,6521,3,PR,1,100,152402
1709495465.340918,56005.000,6538,2,PR,1,100,152428
1709495465.380918,56045.000,6538,2,PR,1,100,152489
1709495465.425252,56089.333,6554,3,PR,1,100,152556
1709495465.469586,56133.667,6554,3,PR,1,100,152644
1709495465.513920,56178.000,6554,3,PR,1,100,152555
1709495465.553920,56218.000,6570,2,PR,1,100,152133
1709495465.593921,56258.000,6570,2,PR,1,100,151766
1709495465.633921,56298.000,6586,3,PR,1,100,151626
1709495465.673922,56338.000,6586,3,PR,1,100,151648
1709495465.713922,56378.000,6586,3,PR,1,100,151660
1709495465.753923,56418.000,6604,2,PR,1,100,151721
1709495465.793923,56458.000,6604,2,PR,1,100,151807
1709495465.833924,56498.000,6620,3,PR,1,100,151844
1709495465.873924,56538.000,6620,3,PR,1,100,151818
1709495465.913924,56578.000,6620,3,PR,1,100,151793
1709495465.953925,56618.000,6635,2,PR,1,100,151812
1709495465.993925,56658.000,6635,2,PR,1,100,151871
1709495466.033926,56698.000,6654,3,PR,1,100,151932
1709495466.073926,56738.000,6654,3,PR,1,100,151971
1709495466.113927,56778.000,6654,3,PR,1,100,152014
1709495466.153927,56818.000,6671,2,PR,1,100,152067
1709495466.193928,56858.000,6671,2,PR,1,100,152098
1709495466.233928,56898.000,6687,3,PR,1,100,152139
1709495466.273929,56938.000,6687,3,PR,1,100,152197
1709495466.313929,56978.000,6687,3,PR,1,100,152218
1709495466.353929,57018.000,6703,2,PR,1,100,152286
1709495466.393930,57058.000,6703,2,PR,1,100,152327
1709495466.433930,57098.000,6719,3,PR,1,100,152389
1709495466.473931,57138.000,6719,3,PR,1,100,152449
1709495466.513931,57178.000,6719,3,PR,1,100,152497
1709495466.553932,57218.000,6739,4,PR,1,100,152494
1709495466.593932,57258.000,6739,4,PR,1,100,152543
1709495466.633933,57298.000,6739,4,PR,1,100,152619
1709495466.673933,57338.000,6739,4,PR,1,100,152686
1709495466.713934,57378.000,6756,2,PR,1,100,152682
1709495466.753934,57418.000,6756,2,PR,1,100,152401
1709495466.793934,57458.000,6773,3,PR,1,100,151969
1709495466.833935,57498.000,6773,3,PR,1,100,151756
1709495466.873935,57538.000,6773,3,PR,1,100,151724
1709495466.913936,57578.000,6788,2,PR,1,100,151779
1709495466.953936,57618.000,6788,2,PR,1,100,151785
1709495466.993937,57658.000,6804,3,PR,1,100,151859
1709495467.033937,57698.000,6804,3,PR,1,100,151897
1709495467.073938,57738.000,6804,3,PR,1,100,151873
1709495467.113938,57778.000,6821,2,PR,1,100,151825
1709495467.153939,57818.000,6821,2,PR,1,100,151807
1709495467.193939,57858.000,6838,3,PR,1,100,151862
1709495467.233939,57898.000,6838,3,PR,1,100,151941
1709495467.273940,57938.000,6838,3,PR,1,100,152018
1709495467.313940,57978.000,6855,2,PR,1,100,152076
1709495467.353941,58018.000,6855,2,PR,1,100,152142
1709495467.393941,58058.000,6872,3,PR,1,100,152198
1709495467.433942,58098.000,6872,3,PR,1,100,152249
1709495467.473942,58138.000,6872,3,PR,1,100,152306
1709495467.513943,58178.000,6888,2,PR,1,100,152336
1709495467.553943,58218.000,6888,2,PR,1,100,152356
1709495467.593944,58258.000,6905,3,PR,1,100,152412
1709495467.633944,58298.000,6905,3,PR,1,100,152479
1709495467.673944,58338.000,6905,3,PR,1,100,152532
1709495467.713945,58378.000,6922,2,PR,1,100,152552
1709495467.753945,58418.000,6922,2,PR,1,100,152603
1709495467.793946,58458.000,6937,3,PR,1,100,152651
1709495467.833946,58498.000,6937,3,PR,1,100,152729
1709495467.873947,58538.000,6937,3,PR,1,100,152786
1709495467.913947,58578.000,6953,3,PR,1,100,152713
1709495467.953948,58618.000,6953,3,PR,1,100,152353
1709495467.993948,58658.000,6953,3,PR,1,100,152035
1709495468.040449,58704.500,6971,2,PR,1,100,151904
1709495468.086949,58751.000,6971,2,PR,1,100,151937
1709495468.126950,58791.000,6987,2,PR,1,100,152008
1709495468.166950,58831.000,6987,2,PR,1,100,152090
1709495468.206950,58871.000,7002,3,PR,1,100,152154
1709495468.246951,58911.000,7002,3,PR,1,100,152106
1709495468.286951,58951.000,7002,3,PR,1,100,152026
1709495468.326952,58991.000,7018,2,PR,1,100,151988
1709495468.366952,59031.000,7018,2,PR,1,100,152008
1709495468.406953,59071.000,7036,3,PR,1,100,152070
1709495468.446953,59111.000,7036,3,PR,1,100,152115
1709495468.486954,59151.000,7036,3,PR,1,100,152180
1709495468.526954,59191.000,7054,2,PR,1,100,152221
1709495468.566955,59231.000,7054,2,PR,1,100,152249
1709495468.606955,59271.000,7069,3,PR,1,100,152301
1709495468.646955,59311.000,7069,3,PR,1,100,152315
1709495468.686956,59351.000,7069,3,PR,1,100,152325
1709495468.726956,59391.000,7086,2,PR,1,100,152343
1709495468.766957,59431.000,7086,2,PR,1,100,152355
1709495468.806957,59471.000,7103,3,PR,1,100,152422
1709495468.846958,59511.000,7103,3,PR,1,100,152419
1709495468.886958,59551.000,7103,3,PR,1,100,152498
1709495468.926959,59591.000,7119,3,PR,1,100,152547
1709495468.966959,59631.000,7119,3,PR,1,100,152590
1709495469.006960,59671.000,7119,3,PR,1,100,152470
1709495469.046960,59711.000,7135,2,PR,1,100,152091
1709495469.086960,59751.000,7135,2,PR,1,100,151830
1709495469.126961,59791.000,7151,3,PR,1,100,151730
1709495469.166961,59831.000,7151,3,PR,1,100,151762
1709495469.206962,59871.000,7151,3,PR,1,100,151761
1709495469.246962,59911.000,7168,2,PR,1,100,151837
1709495469.286963,59951.000,7168,2,PR,1,100,151901
1709495469.326963,59991.000,7184,3,PR,1,100,151866
1709495469.366964,60031.000,7184,3,PR,1,100,151793
1709495469.406964,60071.000,7184,3,PR,1,100,151786
1709495469.446965,60111.000,7201,2,PR,1,100,151802
1709495469.486965,60151.000,7201,2,PR,1,100,151867
1709495469.526965,60191.000,7218,3,PR,1,100,151922
1709495469.566966,60231.000,7218,3,PR,1,100,151970
1709495469.606966,60271.000,7218,3,PR,1,100,152013
1709495469.646967,60311.000,7235,2,PR,1,100,152062
1709495469.686967,60351.000,7235,2,PR,1,100,152097
1709495469.726968,60391.000,7254,3,PR,1,100,152135
1709495469.766968,60431.000,7254,3,PR,1,100,152179
1709495469.806969,60471.000,7254,3,PR,1,100,152233
1709495469.846969,60511.000,7271,2,PR,1,100,152260
1709495469.886970,60551.000,7271,2,PR,1,100,152310
1709495469.926970,60591.000,7285,3,PR,1,100,152335
1709495469.966970,60631.000,7285,3,PR,1,100,152392
1709495470.006971,60671.000,7285,3,PR,1,100,152464
1709495470.046971,60711.000,7303,2,PR,1,100,152512
1709495470.086972,60751.000,7303,2,PR,1,100,152577
1709495470.126972,60791.000,7319,3,PR,1,100,152366
1709495470.166973,60831.000,7319,3,PR,1,100,151955
1709495470.206973,60871.000,7319,3,PR,1,100,151676
1709495470.246974,60911.000,7336,3,PR,1,100,151592
1709495470.286974,60951.000,7336,3,PR,1,100,151633
1709495470.326975,60991.000,7336,3,PR,1,100,151612
1709495470.366975,61031.000,7351,2,PR,1,100,151655
1709495470.406975,61071.000,7351,2,PR,1,100,151694
1709495470.446976,61111.000,7368,3,PR,1,100,151696
1709495470.486976,61151.000,7368,3,PR,1,100,151626
1709495470.526977,61191.000,7368,3,PR,1,100,151599
1709495470.566977,61231.000,7384,2,PR,1,100,151643
1709495470.606978,61271.000,7384,2,PR,1,100,151703
1709495470.646978,61311.000,7403,3,PR,1,100,151766
1709495470.686979,61351.000,7403,3,PR,1,100,151789
1709495470.726979,61391.000,7403,3,PR,1,100,151862
1709495470.773480,61437.500,7418,2,PR,1,100,151925
1709495470.819980,61484.000,7418,2,PR,1,100,151954
1709495470.859981,61524.000,7435,2,PR,1,100,151983
1709495470.899981,61564.000,7435,2,PR,1,100,152021
1709495470.939981,61604.000,7451,3,PR,1,100,152061
1709495470.979982,61644.000,7451,3,PR,1,100,152109
1709495471.019982,61684.000,7451,3,PR,1,100,152167
1709495471.059983,61724.000,7469,3,PR,1,100,152209
1709495471.099983,61764.000,7469,3,PR,1,100,152260
1709495471.139984,61804.000,7469,3,PR,1,100,152324
1709495471.179984,61844.000,7483,2,PR,1,100,152361
1709495471.219985,61884.000,7483,2,PR,1,100,152414
1709495471.259985,61924.000,7500,3,PR,1,100,152479
1709495471.299986,61964.000,7500,3,PR,1,100,152557
1709495471.339986,62004.000,7500,3,PR,1,100,152562
1709495471.379986,62044.000,7517,2,PR,1,100,152324
1709495471.419987,62084.000,7517,2,PR,1,100,151945
1709495471.459987,62124.000,7534,3,PR,1,100,151720
1709495471.499988,62164.000,7534,3,PR,1,100,151666
1709495471.539988,62204.000,7534,3,PR,1,100,151724
1709495471.579989,62244.000,7549,2,PR,1,100,151737
1709495471.619989,62284.000,7549,2,PR,1,100,151807
1709495471.659990,62324.000,7572,3,PR,1,100,151861
1709495471.699990,62364.000,7572,3,PR,1,100,151820
1709495471.739991,62404.000,7572,3,PR,1,100,151774
1709495471.779991,62444.000,7589,2,PR,1,100,151752
1709495471.819991,62484.000,7589,2,PR,1,100,151777
1709495471.859992,62524.000,7608,3,PR,1,100,151838
1709495471.899992,62564.000,7608,3,PR,1,100,151901
1709495471.939993,62604.000,7608,3,PR,1,100,151968
1709495471.979993,62644.000,7624,2,PR,1,100,152007
1709495472.019994,62684.000,7624,2,PR,1,100,152064
1709495472.059994,62724.000,7640,3,PR,1,100,152109
1709495472.099995,62764.000,7640,3,PR,1,100,152145
1709495472.139995,62804.000,7640,3,PR,1,100,152167
1709495472.179996,62844.000,7656,2,PR,1,100,152183
1709495472.219996,62884.000,7656,2,PR,1,100,152246
1709495472.259996,62924.000,7673,3,PR,1,100,152277
1709495472.299997,62964.000,7673,3,PR,1,100,152340
1709495472.339997,63004.000,7673,3,PR,1,100,152369
1709495472.379998,63044.000,7690,3,PR,1,100,152432
1709495472.419998,63084.000,7690,3,PR,1,100,152477
1709495472.459999,63124.000,7690,3,PR,1,100,152535
1709495472.499999,63164.000,7705,2,PR,1,100,152573
1709495472.540000,63204.000,7705,2,PR,1,100,152609
1709495472.580000,63244.000,7721,3,PR,1,100,152384
1709495472.620001,63284.000,7721,3,PR,1,100,152028
1709495472.660001,63324.000,7721,3,PR,1,100,151858
1709495472.700001,63364.000,7739,2,PR,1,100,151849
1709495472.740002,63404.000,7739,2,PR,1,100,151922
1709495472.780002,63444.000,7755,3,PR,1,100,152012
1709495472.820003,63484.000,7755,3,PR,1,100,152104
1709495472.860003,63524.000,7755,3,PR,1,100,152138
1709495472.900004,63564.000,7772,2,PR,1,100,152061
1709495472.940004,63604.000,7772,2,PR,1,100,152020
1709495472.980005,63644.000,7788,3,PR,1,100,152013
1709495473.020005,63684.000,7788,3,PR,1,100,152067
1709495473.060006,63724.000,7788,3,PR,1,100,152106
1709495473.100006,63764.000,7806,2,PR,1,100,152174
1709495473.140006,63804.000,7806,2,PR,1,100,152226
1709495473.180007,63844.000,7822,3,PR,1,100,152272
1709495473.220007,63884.000,7822,3,PR,1,100,152329
1709495473.260008,63924.000,7822,3,PR,1,100,152355
1709495473.300008,63964.000,7837,2,PR,1,100,152388
1709495473.340009,64004.000,7837,2,PR,1,100,152413
1709495473.384343,64048.333,7854,3,PR,1,100,152465
1709495473.428676,64092.667,7854,3,PR,1,100,152506
1709495473.473010,64137.000,7854,3,PR,1,100,152543
1709495473.513011,64177.000,7871,2,PR,1,100,152596
1709495473.553011,64217.000,7871,2,PR,1,100,152693
1709495473.593012,64257.000,7887,3,PR,1,100,152729
1709495473.633012,64297.000,7887,3,PR,1,100,152564
1709495473.673013,64337.000,7887,3,PR,1,100,152219
1709495473.713013,64377.000,7903,2,PR,1,100,151957
1709495473.753013,64417.000,7903,2,PR,1,100,151937
1709495473.793014,64457.000,7919,3,PR,1,100,151987
1709495473.833014,64497.000,7919,3,PR,1,100,152076
1709495473.873015,64537.000,7919,3,PR,1,100,152202
1709495473.913015,64577.000,7936,2,PR,1,100,152229
1709495473.953016,64617.000,7936,2,PR,1,100,152164
1709495473.993016,64657.000,7955,3,PR,1,100,152087
1709495474.033017,64697.000,7955,3,PR,1,100,152089
1709495474.073017,64737.000,7955,3,PR,1,100,152125
1709495474.113018,64777.000,7972,2,PR,1,100,152190
1709495474.153018,64817.000,7972,2,PR,1,100,152238
1709495474.193018,64857.000,7988,3,PR,1,100,152296
1709495474.233019,64897.000,7988,3,PR,1,100,152341
1709495474.273019,64937.000,7988,3,PR,1,100,152393
1709495474.313020,64977.000,8005,2,PR,1,100,152444
1709495474.353020,65017.000,8005,2,PR,1,100,152474
1709495474.393021,65057.000,8022,3,PR,1,100,152520
1709495474.433021,65097.000,8022,3,PR,1,100,152558
1709495474.473022,65137.000,8022,3,PR,1,100,152590
1709495474.513022,65177.000,8039,2,PR,1,100,152625
1709495474.553023,65217.000,8039,2,PR,1,100,152698
1709495474.593023,65257.000,8053,3,PR,1,100,152776
1709495474.633023,65297.000,8053,3,PR,1,100,152783
1709495474.673024,65337.000,8053,3,PR,1,100,152540
1709495474.713024,65377.000,8071,3,PR,1,100,152075
1709495474.753025,65417.000,8071,3,PR,1,100,151828
1709495474.793025,65457.000,8071,3,PR,1,100,151747
1709495474.833026,65497.000,8089,2,PR,1,100,151753
1709495474.873026,65537.000,8089,2,PR,1,100,151782
1709495474.913027,65577.000,8106,3,PR,1,100,151822
1709495474.953027,65617.000,8106,3,PR,1,100,151879
1709495474.993027,65657.000,8106,3,PR,1,100,151845
1709495475.033028,65697.000,8121,2,PR,1,100,151808
1709495475.073028,65737.000,8121,2,PR,1,100,151784
1709495475.113029,65777.000,8138,3,PR,1,100,151822
1709495475.153029,65817.000,8138,3,PR,1,100,151890
1709495475.193030,65857.000,8138,3,PR,1,100,151955
1709495475.233030,65897.000,8156,2,PR,1,100,152022
1709495475.273031,65937.000,8156,2,PR,1,100,152088
1709495475.313031,65977.000,8173,3,PR,1,100,152129
1709495475.353032,66017.000,8173,3,PR,1,100,152196
1709495475.393032,66057.000,8173,3,PR,1,100,152229
1709495475.433032,66097.000,8188,2,PR,1,100,152266
1709495475.473033,66137.000,8188,2,PR,1,100,152323
1709495475.513033,66177.000,8205,3,PR,1,100,152378
1709495475.553034,66217.000,8205,3,PR,1,100,152444
1709495475.593034,66257.000,8205,3,PR,1,100,152497
1709495475.633035,66297.000,8221,2,PR,1,100,152527
1709495475.673035,66337.000,8221,2,PR,1,100,152602
1709495475.713036,66377.000,8239,3,PR,1,100,152678
1709495475.753036,66417.000,8239,3,PR,1,100,152737
1709495475.793037,66457.000,8239,3,PR,1,100,152642
1709495475.833037,66497.000,8253,2,PR,1,100,152197
1709495475.873037,66537.000,8253,2,PR,1,100,151820
1709495475.917371,66581.333,8270,3,PR,1,100,151681
1709495475.961705,66625.667,8270,3,PR,1,100,151672
1709495476.006039,66670.000,8270,3,PR,1,100,151688
1709495476.046039,66710.000,8287,2,PR,1,100,151714
1709495476.086040,66750.000,8287,2,PR,1,100,151788
1709495476.126040,66790.000,8304,3,PR,1,100,151808
1709495476.166041,66830.000,8304,3,PR,1,100,151779
1709495476.206041,66870.000,8304,3,PR,1,100,151723
1709495476.246042,66910.000,8319,2,PR,1,100,151755
1709495476.286042,66950.000,8319,2,PR,1,100,151809
1709495476.326043,66990.000,8337,3,PR,1,100,151880
1709495476.366043,67030.000,8337,3,PR,1,100,151955
1709495476.406044,67070.000,8337,3,PR,1,100,152019
1709495476.446044,67110.000,8354,2,PR,1,100,152080
1709495476.486044,67150.000,8354,2,PR,1,100,152154
1709495476.526045,67190.000,8371,3,PR,1,100,152210
1709495476.566045,67230.000,8371,3,PR,1,100,152260
1709495476.606046,67270.000,8371,3,PR,1,100,152299
1709495476.646046,67310.000,8387,2,PR,1,100,152343
1709495476.686047,67350.000,8387,2,PR,1,100,152402
1709495476.726047,67390.000,8408,3,PR,1,100,152467
1709495476.766048,67430.000,8408,3,PR,1,100,152517
1709495476.806048,67470.000,8408,3,PR,1,100,152587
1709495476.846049,67510.000,8424,2,PR,1,100,152647
1709495476.886049,67550.000,8424,2,PR,1,100,152711
1709495476.926049,67590.000,8441,3,PR,1,100,152750
1709495476.966050,67630.000,8441,3,PR,1,100,152767
1709495477.006050,67670.000,8441,3,PR,1,100,152850
1709495477.046051,67710.000,8458,3,PR,1,100,152911
1709495477.086051,67750.000,8458,3,PR,1,100,152974
1709495477.126052,67790.000,8458,3,PR,1,100,152844
1709495477.166052,67830.000,8473,2,PR,1,100,152378
1709495477.206053,67870.000,8473,2,PR,1,100,152001
1709495477.246053,67910.000,8489,3,PR,1,100,151842
1709495477.286054,67950.000,8489,3,PR,1,100,151870
1709495477.326054,67990.000,8489,3,PR,1,100,151879
1709495477.366054,68030.000,8507,2,PR,1,100,151919
1709495477.406055,68070.000,8507,2,PR,1,100,151990
1709495477.446055,68110.000,8523,3,PR,1,100,151985
1709495477.486056,68150.000,8523,3,PR,1,100,151932
1709495477.526056,68190.000,8523,3,PR,1,100,151888
1709495477.566057,68230.000,8538,2,PR,1,100,151911
1709495477.606057,68270.000,8538,2,PR,1,100,151956
1709495477.646058,68310.000,8556,3,PR,1,100,152023
1709495477.686058,68350.000,8556,3,PR,1,100,152114
1709495477.726059,68390.000,8556,3,PR,1,100,152175
1709495477.766059,68430.000,8574,2,PR,1,100,152216
1709495477.806059,68470.000,8574,2,PR,1,100,152296
1709495477.846060,68510.000,8590,3,PR,1,100,152338
1709495477.886060,68550.000,8590,3,PR,1,100,152398
1709495477.926061,68590.000,8590,3,PR,1,100,152433
1709495477.966061,68630.000,8605,2,PR,1,100,152484
1709495478.006062,68670.000,8605,2,PR,1,100,152548
1709495478.046062,68710.000,8622,3,PR,1,100,152617
1709495478.086063,68750.000,8622,3,PR,1,100,152659
1709495478.126063,68790.000,8622,3,PR,1,100,152716
1709495478.166064,68830.000,8639,2,PR,1,100,152791
1709495478.206064,68870.000,8639,2,PR,1,100,152855
1709495478.246064,68910.000,8655,3,PR,1,100,152888
1709495478.286065,68950.000,8655,3,PR,1,100,152958
1709495478.326065,68990.000,8655,3,PR,1,100,153017
1709495478.366066,69030.000,8672,4,PR,1,100,153094
1709495478.406066,69070.000,8672,4,PR,1,100,153021
1709495478.446067,69110.000,8672,4,PR,1,100,152589
1709495478.486067,69150.000,8672,4,PR,1,100,152206
1709495478.526068,69190.000,8688,3,PR,1,100,152055
1709495478.566068,69230.000,8688,3,PR,1,100,152066
1709495478.606069,69270.000,8688,3,PR,1,100,152149
1709495478.652569,69316.500,8705,2,PR,1,100,152204
1709495478.699070,69363.000,8705,2,PR,1,100,152304
1709495478.739070,69403.000,8720,3,PR,1,100,152276
1709495478.779070,69443.000,8720,3,PR,1,100,152190
1709495478.819071,69483.000,8720,3,PR,1,100,152139
1709495478.859071,69523.000,8737,2,PR,1,100,152190
1709495478.899072,69563.000,8737,2,PR,1,100,152239
1709495478.939072,69603.000,8755,3,PR,1,100,152293
1709495478.979073,69643.000,8755,3,PR,1,100,152365
1709495479.019073,69683.000,8755,3,PR,1,100,152432
1709495479.059074,69723.000,8773,2,PR,1,100,152471
1709495479.099074,69763.000,8773,2,PR,1,100,152500
1709495479.139075,69803.000,8787,3,PR,1,100,152563
1709495479.179075,69843.000,8787,3,PR,1,100,152603
1709495479.219075,69883.000,8787,3,PR,1,100,152657
1709495479.259076,69923.000,8804,2,PR,1,100,152688
1709495479.299076,69963.000,8804,2,PR,1,100,152747
1709495479.339077,70003.000,8821,3,PR,1,100,152784
1709495479.379077,70043.000,8821,3,PR,1,100,152852
1709495479.419078,70083.000,8821,3,PR,1,100,152887
