LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1740487273.351963,3150345.000,48863,3,PG,1,100,17331
1740487273.391965,3150385.000,48881,3,PG,1,100,17333
1740487273.431967,3150425.000,48881,3,PG,1,100,17312
1740487273.471968,3150465.000,48881,3,PG,1,100,17339
1740487273.511970,3150505.000,48897,2,PG,1,100,17355
1740487273.551972,3150545.000,48897,2,PG,1,100,17363
1740487273.591973,3150585.000,48914,3,PG,1,100,17359
1740487273.631975,3150625.000,48914,3,PG,1,100,17378
1740487273.671977,3150665.000,48914,3,PG,1,100,17357
1740487273.711978,3150705.000,48930,2,PG,1,100,17349
1740487273.751980,3150745.000,48930,2,PG,1,100,17362
1740487273.791982,3150785.000,48948,3,PG,1,100,17377
1740487273.831983,3150825.000,48948,3,PG,1,100,17377
1740487273.871985,3150865.000,48948,3,PG,1,100,17369
1740487273.911986,3150905.000,48964,2,PG,1,100,17363
1740487273.951988,3150945.000,48964,2,PG,1,100,17382
1740487273.991990,3150985.000,48984,4,PG,1,100,17338
1740487274.031991,3151025.000,48984,4,PG,1,100,17320
1740487274.071993,3151065.000,48984,4,PG,1,100,17328
1740487274.111995,3151105.000,48984,4,PG,1,100,17346
1740487274.151996,3151145.000,49003,2,PG,1,100,17355
1740487274.191998,3151185.000,49003,2,PG,1,100,17373
1740487274.232000,3151225.000,49020,3,PG,1,100,17369
1740487274.272001,3151265.000,49020,3,PG,1,100,17369
1740487274.312003,3151305.000,49020,3,PG,1,100,17377
1740487274.352004,3151345.000,49036,2,PG,1,100,17382
1740487274.392006,3151385.000,49036,2,PG,1,100,17372
1740487274.432008,3151425.000,49054,3,PG,1,100,17382
1740487274.472009,3151465.000,49054,3,PG,1,100,17382
1740487274.512011,3151505.000,49054,3,PG,1,100,17387
1740487274.552013,3151545.000,49070,2,PG,1,100,17376
1740487274.592014,3151585.000,49070,2,PG,1,100,17348
1740487274.632016,3151625.000,49085,3,PG,1,100,17306
1740487274.672018,3151665.000,49085,3,PG,1,100,17307
1740487274.712019,3151705.000,49085,3,PG,1,100,17311
1740487274.752021,3151745.000,49102,2,PG,1,100,17315
1740487274.792022,3151785.000,49102,2,PG,1,100,17333
1740487274.836358,3151829.333,49121,3,PG,1,100,17337
1740487274.880693,3151873.667,49121,3,PG,1,100,17337
1740487274.925028,3151918.000,49121,3,PG,1,100,17354
1740487274.965030,3151958.000,49137,2,PG,1,100,17343
1740487275.005031,3151998.000,49137,2,PG,1,100,17332
1740487275.045033,3152038.000,49153,3,PG,1,100,17365
1740487275.085034,3152078.000,49153,3,PG,1,100,17368
1740487275.125036,3152118.000,49153,3,PG,1,100,17358
1740487275.165038,3152158.000,49169,2,PG,1,100,17360
1740487275.205039,3152198.000,49169,2,PG,1,100,17367
1740487275.245041,3152238.000,49186,3,PG,1,100,17351
1740487275.285043,3152278.000,49186,3,PG,1,100,17308
1740487275.325044,3152318.000,49186,3,PG,1,100,17270
1740487275.365046,3152358.000,49202,2,PG,1,100,17283
1740487275.405048,3152398.000,49202,2,PG,1,100,17299
1740487275.445049,3152438.000,49220,3,PG,1,100,17296
1740487275.485051,3152478.000,49220,3,PG,1,100,17306
1740487275.525052,3152518.000,49220,3,PG,1,100,17320
1740487275.565054,3152558.000,49236,2,PG,1,100,17316
1740487275.605056,3152598.000,49236,2,PG,1,100,17331
1740487275.645057,3152638.000,49253,3,PG,1,100,17341
1740487275.685059,3152678.000,49253,3,PG,1,100,17321
1740487275.725061,3152718.000,49253,3,PG,1,100,17333
1740487275.765062,3152758.000,49270,3,PG,1,100,17346
1740487275.805064,3152798.000,49270,3,PG,1,100,17337
1740487275.845066,3152838.000,49270,3,PG,1,100,17340
1740487275.885067,3152878.000,49285,2,PG,1,100,17347
1740487275.925069,3152918.000,49285,2,PG,1,100,17314
1740487275.965070,3152958.000,49301,3,PG,1,100,17260
1740487276.005072,3152998.000,49301,3,PG,1,100,17247
1740487276.045074,3153038.000,49301,3,PG,1,100,17274
1740487276.085075,3153078.000,49319,2,PG,1,100,17265
1740487276.125077,3153118.000,49319,2,PG,1,100,17290
1740487276.165079,3153158.000,49337,3,PG,1,100,17283
1740487276.205080,3153198.000,49337,3,PG,1,100,17298
1740487276.245082,3153238.000,49337,3,PG,1,100,17286
1740487276.285084,3153278.000,49353,4,PG,1,100,17298
1740487276.325085,3153318.000,49353,4,PG,1,100,17290
1740487276.365087,3153358.000,49353,4,PG,1,100,17298
1740487276.405088,3153398.000,49353,4,PG,1,100,17304
1740487276.445090,3153438.000,49370,3,PG,1,100,17310
1740487276.485092,3153478.000,49370,3,PG,1,100,17309
1740487276.525093,3153518.000,49370,3,PG,1,100,17311
1740487276.565095,3153558.000,49387,2,PG,1,100,17318
1740487276.605097,3153598.000,49387,2,PG,1,100,17321
1740487276.645098,3153638.000,49401,3,PG,1,100,17294
1740487276.685100,3153678.000,49401,3,PG,1,100,17240
1740487276.725102,3153718.000,49401,3,PG,1,100,17229
1740487276.765103,3153758.000,49419,2,PG,1,100,17243
1740487276.805105,3153798.000,49419,2,PG,1,100,17245
1740487276.845106,3153838.000,49437,3,PG,1,100,17270
1740487276.885108,3153878.000,49437,3,PG,1,100,17286
1740487276.925110,3153918.000,49437,3,PG,1,100,17284
1740487276.965111,3153958.000,49454,3,PG,1,100,17283
1740487277.005113,3153998.000,49454,3,PG,1,100,17285
1740487277.045115,3154038.000,49454,3,PG,1,100,17287
1740487277.091617,3154084.500,49469,2,PG,1,100,17285
1740487277.138118,3154131.000,49469,2,PG,1,100,17300
1740487277.178120,3154171.000,49486,2,PG,1,100,17305
1740487277.218122,3154211.000,49486,2,PG,1,100,17304
1740487277.258123,3154251.000,49502,3,PG,1,100,17312
1740487277.298125,3154291.000,49502,3,PG,1,100,17305
1740487277.338127,3154331.000,49502,3,PG,1,100,17316
1740487277.378128,3154371.000,49519,2,PG,1,100,17276
1740487277.418130,3154411.000,49519,2,PG,1,100,17280
1740487277.458132,3154451.000,49535,3,PG,1,100,17267
1740487277.498133,3154491.000,49535,3,PG,1,100,17273
1740487277.538135,3154531.000,49535,3,PG,1,100,17277
1740487277.578137,3154571.000,49553,2,PG,1,100,17291
1740487277.618138,3154611.000,49553,2,PG,1,100,17315
1740487277.658140,3154651.000,49569,3,PG,1,100,17296
1740487277.698141,3154691.000,49569,3,PG,1,100,17305
1740487277.738143,3154731.000,49569,3,PG,1,100,17311
1740487277.778145,3154771.000,49587,2,PG,1,100,17308
1740487277.818146,3154811.000,49587,2,PG,1,100,17319
1740487277.858148,3154851.000,49602,3,PG,1,100,17322
1740487277.898150,3154891.000,49602,3,PG,1,100,17336
1740487277.938151,3154931.000,49602,3,PG,1,100,17321
1740487277.978153,3154971.000,49618,3,PG,1,100,17322
1740487278.018155,3155011.000,49618,3,PG,1,100,17331
1740487278.058156,3155051.000,49618,3,PG,1,100,17317
1740487278.098158,3155091.000,49635,2,PG,1,100,17285
1740487278.138159,3155131.000,49635,2,PG,1,100,17288
1740487278.178161,3155171.000,49652,3,PG,1,100,17293
1740487278.218163,3155211.000,49652,3,PG,1,100,17302
1740487278.258164,3155251.000,49652,3,PG,1,100,17310
1740487278.298166,3155291.000,49670,2,PG,1,100,17325
1740487278.338168,3155331.000,49670,2,PG,1,100,17343
1740487278.378169,3155371.000,49686,3,PG,1,100,17340
1740487278.418171,3155411.000,49686,3,PG,1,100,17337
1740487278.458173,3155451.000,49686,3,PG,1,100,17346
1740487278.498174,3155491.000,49702,3,PG,1,100,17343
1740487278.538176,3155531.000,49702,3,PG,1,100,17342
1740487278.578177,3155571.000,49702,3,PG,1,100,17340
1740487278.618179,3155611.000,49719,2,PG,1,100,17358
1740487278.658181,3155651.000,49719,2,PG,1,100,17355
1740487278.698182,3155691.000,49735,3,PG,1,100,17368
1740487278.738184,3155731.000,49735,3,PG,1,100,17386
1740487278.778186,3155771.000,49735,3,PG,1,100,17358
1740487278.818187,3155811.000,49752,2,PG,1,100,17337
1740487278.858189,3155851.000,49752,2,PG,1,100,17313
1740487278.898191,3155891.000,49767,3,PG,1,100,17322
1740487278.938192,3155931.000,49767,3,PG,1,100,17341
1740487278.978194,3155971.000,49767,3,PG,1,100,17348
1740487279.018195,3156011.000,49786,2,PG,1,100,17350
1740487279.058197,3156051.000,49786,2,PG,1,100,17361
1740487279.098199,3156091.000,49810,4,PG,1,100,17356
1740487279.138200,3156131.000,49810,4,PG,1,100,17361
1740487279.178202,3156171.000,49810,4,PG,1,100,17373
1740487279.218204,3156211.000,49810,4,PG,1,100,17372
1740487279.258205,3156251.000,49827,2,PG,1,100,17365
1740487279.298207,3156291.000,49827,2,PG,1,100,17382
1740487279.342542,3156335.333,49843,3,PG,1,100,17369
1740487279.386877,3156379.667,49843,3,PG,1,100,17391
1740487279.431212,3156424.000,49843,3,PG,1,100,17384
1740487279.471214,3156464.000,49859,2,PG,1,100,17375
1740487279.511216,3156504.000,49859,2,PG,1,100,17349
1740487279.551217,3156544.000,49875,3,PG,1,100,17329
1740487279.591219,3156584.000,49875,3,PG,1,100,17336
1740487279.631221,3156624.000,49875,3,PG,1,100,17365
1740487279.671222,3156664.000,49892,2,PG,1,100,17378
1740487279.711224,3156704.000,49892,2,PG,1,100,17393
1740487279.751225,3156744.000,49911,3,PG,1,100,17395
