LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1740487273.351963,3150345.000,48861,3,PI,1,100,177672
1740487273.391965,3150385.000,48879,3,PI,1,100,176976
1740487273.431967,3150425.000,48879,3,PI,1,100,177069
1740487273.471968,3150465.000,48879,3,PI,1,100,177529
1740487273.511970,3150505.000,48895,2,PI,1,100,177928
1740487273.551972,3150545.000,48895,2,PI,1,100,178107
1740487273.591973,3150585.000,48912,3,PI,1,100,178224
1740487273.631975,3150625.000,48912,3,PI,1,100,178225
1740487273.671977,3150665.000,48912,3,PI,1,100,178169
1740487273.711978,3150705.000,48928,2,PI,1,100,178132
1740487273.751980,3150745.000,48928,2,PI,1,100,178198
1740487273.791982,3150785.000,48946,3,PI,1,100,178224
1740487273.831983,3150825.000,48946,3,PI,1,100,178317
1740487273.871985,3150865.000,48946,3,PI,1,100,178379
1740487273.911986,3150905.000,48962,2,PI,1,100,178414
1740487273.951988,3150945.000,48962,2,PI,1,100,178146
1740487273.991990,3150985.000,48982,4,PI,1,100,177194
1740487274.031991,3151025.000,48982,4,PI,1,100,176836
1740487274.071993,3151065.000,48982,4,PI,1,100,177135
1740487274.111995,3151105.000,48982,4,PI,1,100,177619
1740487274.151996,3151145.000,49001,2,PI,1,100,177939
1740487274.191998,3151185.000,49001,2,PI,1,100,178088
1740487274.232000,3151225.000,49018,3,PI,1,100,178157
1740487274.272001,3151265.000,49018,3,PI,1,100,178086
1740487274.312003,3151305.000,49018,3,PI,1,100,178028
1740487274.352004,3151345.000,49034,2,PI,1,100,178063
1740487274.392006,3151385.000,49034,2,PI,1,100,178098
1740487274.432008,3151425.000,49052,3,PI,1,100,178161
1740487274.472009,3151465.000,49052,3,PI,1,100,178230
1740487274.512011,3151505.000,49052,3,PI,1,100,178292
1740487274.552013,3151545.000,49068,2,PI,1,100,178275
1740487274.592014,3151585.000,49068,2,PI,1,100,177622
1740487274.632016,3151625.000,49083,3,PI,1,100,176669
1740487274.672018,3151665.000,49083,3,PI,1,100,176585
1740487274.712019,3151705.000,49083,3,PI,1,100,176959
1740487274.752021,3151745.000,49100,2,PI,1,100,177415
1740487274.792022,3151785.000,49100,2,PI,1,100,177694
1740487274.836358,3151829.333,49119,3,PI,1,100,177866
1740487274.880693,3151873.667,49119,3,PI,1,100,177902
1740487274.925028,3151918.000,49119,3,PI,1,100,177846
1740487274.965030,3151958.000,49135,2,PI,1,100,177811
1740487275.005031,3151998.000,49135,2,PI,1,100,177881
1740487275.045033,3152038.000,49151,3,PI,1,100,177998
1740487275.085034,3152078.000,49151,3,PI,1,100,178063
1740487275.125036,3152118.000,49151,3,PI,1,100,178116
1740487275.165038,3152158.000,49167,2,PI,1,100,178201
1740487275.205039,3152198.000,49167,2,PI,1,100,178220
1740487275.245041,3152238.000,49184,3,PI,1,100,177526
1740487275.285043,3152278.000,49184,3,PI,1,100,176558
1740487275.325044,3152318.000,49184,3,PI,1,100,176500
1740487275.365046,3152358.000,49200,2,PI,1,100,176843
1740487275.405048,3152398.000,49200,2,PI,1,100,177243
1740487275.445049,3152438.000,49218,3,PI,1,100,177544
1740487275.485051,3152478.000,49218,3,PI,1,100,177741
1740487275.525052,3152518.000,49218,3,PI,1,100,177773
1740487275.565054,3152558.000,49234,2,PI,1,100,177749
1740487275.605056,3152598.000,49234,2,PI,1,100,177722
1740487275.645057,3152638.000,49251,3,PI,1,100,177787
1740487275.685059,3152678.000,49251,3,PI,1,100,177851
1740487275.725061,3152718.000,49251,3,PI,1,100,177923
1740487275.765062,3152758.000,49268,3,PI,1,100,178008
1740487275.805064,3152798.000,49268,3,PI,1,100,178029
1740487275.845066,3152838.000,49268,3,PI,1,100,178094
