LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1740487273.351963,3150345.000,48862,3,PR,1,100,164495
1740487273.391965,3150385.000,48880,3,PR,1,100,164175
1740487273.431967,3150425.000,48880,3,PR,1,100,164226
1740487273.471968,3150465.000,48880,3,PR,1,100,164439
1740487273.511970,3150505.000,48896,2,PR,1,100,164606
1740487273.551972,3150545.000,48896,2,PR,1,100,164675
1740487273.591973,3150585.000,48913,3,PR,1,100,164728
1740487273.631975,3150625.000,48913,3,PR,1,100,164753
1740487273.671977,3150665.000,48913,3,PR,1,100,164702
1740487273.711978,3150705.000,48929,2,PR,1,100,164697
1740487273.751980,3150745.000,48929,2,PR,1,100,164699
1740487273.791982,3150785.000,48947,3,PR,1,100,164738
1740487273.831983,3150825.000,48947,3,PR,1,100,164765
1740487273.871985,3150865.000,48947,3,PR,1,100,164793
1740487273.911986,3150905.000,48963,2,PR,1,100,164816
1740487273.951988,3150945.000,48963,2,PR,1,100,164677
1740487273.991990,3150985.000,48983,4,PR,1,100,164250
1740487274.031991,3151025.000,48983,4,PR,1,100,164089
1740487274.071993,3151065.000,48983,4,PR,1,100,164207
1740487274.111995,3151105.000,48983,4,PR,1,100,164433
1740487274.151996,3151145.000,49002,2,PR,1,100,164565
1740487274.191998,3151185.000,49002,2,PR,1,100,164631
1740487274.232000,3151225.000,49019,3,PR,1,100,164659
1740487274.272001,3151265.000,49019,3,PR,1,100,164614
1740487274.312003,3151305.000,49019,3,PR,1,100,164602
1740487274.352004,3151345.000,49035,2,PR,1,100,164597
1740487274.392006,3151385.000,49035,2,PR,1,100,164599
1740487274.432008,3151425.000,49053,3,PR,1,100,164617
1740487274.472009,3151465.000,49053,3,PR,1,100,164629
1740487274.512011,3151505.000,49053,3,PR,1,100,164666
1740487274.552013,3151545.000,49069,2,PR,1,100,164664
1740487274.592014,3151585.000,49069,2,PR,1,100,164350
1740487274.632016,3151625.000,49084,3,PR,1,100,163909
1740487274.672018,3151665.000,49084,3,PR,1,100,163856
1740487274.712019,3151705.000,49084,3,PR,1,100,164031
